!B2344+514   J2347+517                                                                    
!J2000  RA: 23:47:04.8380    DEC: +51:42:17.877                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 1.3mm   04 Jun 2009 17:58  SMA  224.81   0.054 +/- 0.009     6.3  awehrle   54986.750    
 1.3mm   30 Jun 2009 14:28  SMA  222.48   0.064 +/- 0.016     4.0  awehrle   55012.602    
 1.3mm   20 Jul 2009 14:10  SMA  224.82   0.147 +/- 0.010    23.7  awehrle   55032.590    
 1.3mm   09 Aug 2009 11:45  SMA  224.82   0.109 +/- 0.009    15.7  awehrle   55052.488    
 1.3mm   01 Sep 2009 15:26  SMA  224.82   0.083 +/- 0.021     4.0  awehrle   55075.645    
 1.3mm   28 Sep 2009 10:19  SMA  224.81   0.153 +/- 0.010    24.3  awehrle   55102.430    
 1.3mm   26 Oct 2009 09:07  SMA  224.80   0.096 +/- 0.007    20.7  awehrle   55130.379    
 1.3mm   14 Nov 2009 08:10  SMA  224.79   0.176 +/- 0.013    18.7  awehrle   55149.340    
 1.3mm   05 Dec 2009 05:47  SMA  224.79   0.074 +/- 0.007    12.0  awehrle   55170.242    
 1.3mm   20 Dec 2009 07:37  SMA  224.78   0.131 +/- 0.014    10.3  awehrle   55185.316    
 1.3mm   29 Dec 2009 04:31  SMA  225.17   0.075 +/- 0.008    11.0  awehrle   55194.188    
 1.3mm   06 Jan 2010 05:41  SMA  224.78   0.079 +/- 0.010     9.0  awehrle   55202.238    
 1.3mm   18 May 2010 16:50  SMA  224.80   0.086 +/- 0.008    12.7  awehrle   55334.703    
 1.3mm   26 May 2010 16:25  SMA  222.66   0.084 +/- 0.008    12.0  awehrle   55342.684    
 1.3mm   06 Aug 2010 15:33  SMA  224.82   0.112 +/- 0.022     5.3  awehrle   55414.648    
 1.3mm   12 Aug 2010 08:52  SMA  218.79   0.112 +/- 0.048     2.3  awehrle   55420.371    
 1.3mm   27 Aug 2010 14:53  SMA  224.73   0.112 +/- 0.011    12.0  awehrle   55435.621    
 1.3mm   01 Sep 2010 13:55  SMA  235.57   0.103 +/- 0.012    10.0  awehrle   55440.578    
 1.3mm   14 Sep 2010 13:57  SMA  225.24   0.176 +/- 0.018    11.0  mgurwell  55453.582    
 1.3mm   30 Sep 2010 07:15  SMA  224.81   0.127 +/- 0.022     6.0  awehrle   55469.301    
 1.3mm   20 Oct 2010 11:40  SMA  224.80   0.219 +/- 0.035     6.7  awehrle   55489.484    
 1.3mm   26 Oct 2010 05:20  SMA  225.34   0.101 +/- 0.028     3.7  awehrle   55495.223    
 1.3mm   27 Oct 2010 12:26  SMA  226.01   0.157 +/- 0.032     5.0  awehrle   55496.520    
