Source ID,RA,Dec,FWHM (arcsec),Ambiguous Ties
id0001,10.0h58.0m29.61s,1d33m58.82s,2.625,None found
id0002,17.0h45.0m40.03s,-29d00m28.41272727s,1.656,id0050_id0063_id0065
id0003,16.0h42.0m58.79s,39d48m36.742s,3.646,None found
id0004,16.0h58.0m1.41s,34d43m28.235s,3.603,None found
id0005,22.0h53.0m57.74s,16d08m53.42869565s,2.652,None found
id0006,11.0h46.0m58.29s,39d58m34.1418s,2.946,None found
id0007,11.0h59.0m31.8s,29d14m43.41148148s,2.91,None found
id0008,3.0h19.0m48.14s,41d30m41.90135593s,3.132,None found
id0009,5.0h10.0m2.35s,18d00m41.28894737s,3.689,None found
id0010,4.0h18.0m21.25s,38d01m35.485s,3.126,None found
id0011,12.0h56.0m11.15s,-5d47m21.74219298s,3.312,id0079_id0080_id0108_id0109_id0110_id0111
id0012,4.0h55.0m45.8s,30d33m03.392s,3.386,None found
id0013,22.0h2.0m43.28s,42d16m39.82347826s,3.559,None found
id0014,4.0h35.0m27.35s,24d14m58.016s,3.403,None found
id0015,9.0h58.0m47.16s,65d33m54.29s,5.698,None found
id0016,4.0h34.0m55.39s,24d28m52.20333333s,3.282,None found
id0017,4.0h21.0m57.39s,28d26m34.69666667s,3.195,None found
id0018,17.0h45.0m39.71s,-29d00m33.6s,1.676,None found
id0019,17.0h51.0m32.85s,9d39m00.27s,4.613,None found
id0020,17.0h51.0m33.01s,9d38m53.66s,2.948,None found
id0021,20.0h15.0m28.15s,37d10m58.87666667s,2.982,None found
id0022,20.0h15.0m28.87s,37d11m07.2s,2.882,None found
id0023,20.0h15.0m28.72s,37d10m54.96s,2.882,id0089
id0024,20.0h15.0m28.83s,37d11m03.43s,2.882,id0089
id0025,20.0h15.0m28.42s,37d11m06.05s,2.882,id0089
id0026,20.0h15.0m27.75s,37d10m49.68s,2.882,None found
id0027,20.0h15.0m29.98s,37d11m06.11s,2.882,None found
id0028,20.0h15.0m27.1s,37d10m39.29s,2.882,None found
id0029,20.0h15.0m28.97s,37d10m57.25s,3.193,id0089
id0030,20.0h15.0m29.06s,37d11m01.25s,3.193,id0089
id0031,20.0h15.0m29.41s,37d10m58.18s,3.193,id0089
id0032,19.0h50.0m34.1s,32d54m47.81s,2.957,None found
id0033,19.0h50.0m34.07s,32d54m58.44s,2.957,None found
id0034,19.0h50.0m33.29s,32d54m48.46s,2.957,None found
id0035,19.0h50.0m34.02s,32d54m39.65s,2.957,None found
id0036,17.0h43.0m58.82s,-3d50m04.88s,5.885,id0087
id0037,17.0h51.0m32.21s,9d39m02.66s,5.854,None found
id0038,12.0h29.0m6.69s,2d03m08.46071429s,2.406,id0113
id0039,4.0h33.0m11.08s,5d21m15.36875s,3.574,None found
id0040,4.0h33.0m39.07s,25d20m37.465s,3.553,None found
id0041,4.0h21.0m59.44s,19d32m05.92s,3.574,None found
id0042,17.0h0.0m53.15s,-26d10m51.78s,2.093,None found
id0043,19.0h24.0m51.04s,-29d14m30.295s,2.008,id0046
id0044,19.0h24.0m50.57s,-29d14m38.2s,1.549,None found
id0045,19.0h24.0m51.52s,-29d14m22.375s,1.487,None found
id0046,19.0h24.0m50.92s,-29d14m33.97s,1.428,id0043
id0047,17.0h45.0m39.49s,-29d00m36.85s,1.746,None found
id0048,17.0h45.0m40.54s,-29d00m20.365s,1.668,None found
id0049,17.0h45.0m38.94s,-29d00m45.42s,1.746,None found
id0050,17.0h45.0m40.42s,-29d00m23.22s,1.744,id0002
id0051,12.0h30.0m49.41s,12d23m27.90888889s,1.799,id0052_id0114
id0052,12.0h30.0m49.34s,12d23m21.03s,1.438,id0051
id0053,12.0h30.0m48.52s,12d23m32.565s,2.762,None found
id0054,12.0h30.0m49.32s,12d23m08.79s,3.275,None found
id0055,12.0h30.0m49.43s,12d23m38.94s,3.275,None found
id0056,5.0h30.0m56.38s,13d31m54.6s,4.783,None found
id0057,11.0h22.0m5.1s,-24d46m40.291s,4.198,id0069_id0070
id0058,11.0h1.0m51.74s,-34d42m17.663s,5.214,id0071_id0072_id0073_id0074_id0076
id0059,13.0h31.0m8.28s,30d30m32.86375s,1.75,None found
id0060,17.0h45.0m40.46s,-29d00m21.62s,1.453,None found
id0061,17.0h45.0m38.85s,-29d00m16.19s,3.113,None found
id0062,17.0h45.0m39.15s,-29d00m35.67s,3.113,None found
id0063,17.0h45.0m40.11s,-29d00m29.33s,1.445,id0002
id0064,17.0h45.0m39.54s,-29d00m34.75s,1.445,None found
id0065,17.0h45.0m40.46s,-29d00m33.5s,1.445,id0002
id0066,13.0h10.0m28.65s,32d20m43.6375s,1.971,None found
id0067,11.0h27.0m4.38s,-18d57m17.59647059s,3.719,None found
id0068,11.0h30.0m7.03s,-14d49m27.63705882s,3.503,None found
id0069,11.0h22.0m4.46s,-24d46m50.87s,3.863,id0057
id0070,11.0h22.0m4.43s,-24d46m25.18s,3.863,id0057
id0071,11.0h1.0m52.41s,-34d42m23.46s,4.768,id0058
id0072,11.0h1.0m50.72s,-34d42m11.12s,4.768,id0058
id0073,11.0h1.0m51.07s,-34d42m32.44s,4.768,id0058
id0074,11.0h1.0m51.32s,-34d42m02.9s,6.763,id0058
id0075,4.0h33.0m39.51s,25d20m45.84s,2.518,None found
id0076,11.0h1.0m51.91s,-34d42m29.02s,4.836,id0058
id0077,15.0h49.0m29.44s,2d37m01.16s,0.962,None found
id0078,15.0h50.0m35.27s,5d27m10.4175s,0.947,None found
id0079,12.0h56.0m11.36s,-5d46m59.095s,4.056,id0011
id0080,12.0h56.0m10.99s,-5d47m44.13s,4.056,id0011
id0081,10.0h8.0m0.78s,6d21m20.385s,6.157,None found
id0082,7.0h21.0m53.45s,71d20m36.36s,5.358,None found
id0083,13.0h16.0m7.99s,-33d38m59.17s,5.844,None found
id0084,13.0h25.0m27.62s,-43d01m08.8s,7.215,None found
id0085,14.0h27.0m56.24s,-42d06m20.06s,6.725,None found
id0086,1.0h2.0m45.76s,58d24m11.14s,0.909,None found
