Field Name,File Name,Stationary,Beam Maj Axis (arcsec),Beam Min Axis (arcsec),Beam Pos Angle (deg),Freq (GHz),Flux Uncert (mJy),Flux (mJy),RA Uncert (arcsec),Dec Uncert (arcsec),RA,Dec,Internal,Obs ID,Source ID,Obs Date Time
1058+015,1058+015_img_RX0.fits,True,2.625,0.897,68.963,220.1,34.146,2563.083,0.0,0.0,10h58m29.61s,1d33m58.82s,True,12742,id0001,6-11-25 2:49:5
sgra,sgra_img_RX0.fits,True,1.47,1.239,64.83,220.1,53.179,2965.729,0.0,0.0,17h45m40.03s,-29d0m28.26s,True,12742,id0002,6-11-25 2:55:22
1642+398,1642+398_img_RX0.fits,True,3.632,3.246,92.108,210.511,14.665,3398.636,0.0,0.0,16h42m58.81s,39d48m36.99s,True,13481,id0003,7-8-25 15:48:11
1642+398,1642+398_img_RX3.fits,True,3.644,3.29,86.497,210.511,24.695,3388.191,0.0,0.0,16h42m58.81s,39d48m36.99s,True,13481,id0003,7-8-25 15:48:14
1658+347,1658+347_img_RX0.fits,True,3.602,3.172,98.482,210.511,7.664,58.954,0.0,0.0,16h58m1.37s,34d43m27.74s,True,13481,id0004,7-8-25 15:48:22
1658+347,1658+347_img_RX3.fits,True,3.51,3.21,89.386,210.511,8.834,48.558,0.0,0.0,16h58m1.37s,34d43m27.74s,True,13481,id0004,7-8-25 15:48:23
3c454.3,3c454.3_img_RX0.fits,True,3.329,3.012,111.224,210.511,25.537,5786.268,0.0,0.0,22h53m57.7s,16d8m52.9s,True,13481,id0005,7-8-25 15:48:30
3c454.3,3c454.3_img_RX3.fits,True,3.269,3.069,111.301,210.511,28.465,5785.028,0.0,0.0,22h53m57.7s,16d8m52.9s,True,13481,id0005,7-8-25 15:48:32
1146+399,1146+399_img_RX0.fits,True,1.767,1.03,113.334,210.532,7.674,457.619,0.0,0.0,11h46m58.28s,39d58m34.07s,True,11270,id0006,7-16-25 6:23:44
1146+399,1146+399_img_RX3.fits,True,2.065,0.992,105.237,210.532,8.593,455.213,0.0,0.0,11h46m58.28s,39d58m34.07s,True,11270,id0006,7-16-25 6:23:47
1159+292,1159+292_img_RX0.fits,True,1.967,1.064,101.445,225.538,11.595,3734.876,0.0,0.0,11h59m31.82s,29d14m43.59s,True,11270,id0007,7-16-25 6:24:14
3c84,3c84_img_RX0.fits,True,1.359,1.166,-2.895,210.532,3.957,9238.214,0.0,0.0,3h19m48.14s,41d30m41.87s,True,11270,id0008,7-16-25 6:24:53
